title,profile,category,wrong_way,phrase_1,phrase_1_action,phrase_2,phrase_2_action,phrase_3,phrase_3_action,neurological_tip
Mealtime - Anxiety About Trying Food,INTENSE,Mealtime,"What's the worst that could happen? Just try it!","I see you're worried about what might happen if you eat this. Your brain is trying to keep you safe.",Validate the anxiety without forcing,"Food neophobia is your brain's way of being careful about new things. Long ago, that protected people.",Normalize the evolutionary basis,"We can leave it here and just look at it today. Looking is the first step. No eating required.",Remove all eating pressure—exposure without consumption,"Food neophobia in INTENSE children is amplified by their hyperactive amygdala (threat detection). Pressure increases anxiety. Evidence-based approach: exposure without consumption for multiple sessions. Honoring their fear response while maintaining proximity to the food is the pathway to eventual acceptance."
Mealtime - Meltdown When Preferred Food Unavailable,INTENSE,Mealtime,"We're out of that! You can't have it!","I hear you really wanted that specific food and we don't have it. That's so disappointing.",Validate the disappointment without dismissing it,"Your brain was expecting that food and now it has to adjust. That's hard for brains.",Explain the cognitive challenge simply,"Let's look together at what we do have. What sounds okay to your body right now?",Involve them in finding an acceptable alternative,"INTENSE children have difficulty with flexibility when expectations aren't met—their amygdala perceives it as a threat. Food jags and rigidity are partly neurological. Validation reduces emotional intensity. Collaborative problem-solving engages their prefrontal cortex, helping them shift from emotional to cognitive processing."
Mealtime - Family Meal Overwhelm,INTENSE,Mealtime,"Sit still and eat! Everyone else is!","I notice family dinner is a lot of stimulation—voices, smells, people. That's overwhelming for your senses.",Acknowledge their sensory experience,"Your body needs quieter eating sometimes. That's okay. Let's set you up where it feels calmer.",Offer to let them eat in a quieter space without punishment,"When your body is ready, you can join us, or you can stay here. Both are fine.",Remove shame from needing accommodation,"Family meals with multiple sensory inputs (noise, smells, visual chaos) can overwhelm INTENSE children's sensitive nervous systems. Forcing participation activates fight/flight. Offering accommodation without shame honors their needs while maintaining family connection when they're able to tolerate it."
Mealtime - Eating Very Slowly,INTENSE,Mealtime,"Hurry up! We don't have all day!","I notice you're eating very slowly and carefully. Your body might need time to process each bite.",Validate their pace as a sensory need, not defiance,"Some people need more time to notice how food feels and tastes. That's how your body works.",Explain individual differences in sensory processing,"There's no rush. You can take the time your body needs.",Explicitly give permission to eat at their pace,"INTENSE children may have slow processing speed or heightened interoceptive awareness, requiring more time to assess each bite. Rushing activates their stress response and can trigger refusal. Respecting their pace prevents mealtime from becoming a power struggle and honors their sensory processing needs."
Mealtime - Won't Eat When Upset,INTENSE,Mealtime,"You have to eat something!","I see you're feeling upset. Sometimes when our bodies are stressed, eating feels impossible.",Recognize that emotional state affects appetite,"Your stomach and your feelings are connected. When you're upset, your stomach closes up.",Explain the gut-brain connection simply,"We'll save your food. When your body calms down, you might feel hungry again.",Remove pressure and offer later,"Stress activates the sympathetic nervous system, shutting down digestion (blood flow diverts from the gut). INTENSE children's strong emotions make this especially pronounced. Forcing food during distress can cause nausea or vomiting. Supporting their regulation first allows appetite to return naturally."
Mealtime - Refuses Dinner Then Wants Snacks,INTENSE,Mealtime,"You didn't eat dinner so no snacks!","I notice you didn't eat at dinner time and now your body is saying it's hungry.",Acknowledge the physiological reality,"Sometimes bodies aren't ready to eat when we serve food, and that's okay.",Normalize variable hunger patterns,"Let me offer you some of the dinner food now. Your body might be ready for it.",Re-offer the meal food without punishment,"INTENSE children may have poor interoceptive awareness and not recognize hunger when food is first offered. Punishing with hunger is harmful. Offering the meal food later respects both hunger cues and boundaries (no short-order cooking). Their delayed recognition is neurological, not manipulation."
Homework - Can't Initiate Starting,DISTRACTED,Homework,"Stop procrastinating and start your homework!","I see your brain is having trouble starting. Brains sometimes freeze when tasks feel big or boring.",Sit down next to them at their level,"Let's break this into tiny pieces. What's the very first step—like opening your folder?",Make the first step so small it feels doable,"Great! You started. Now let's do just one problem together, then you try one.",Build momentum with scaffolding and celebration of small steps,"DISTRACTED children struggle with task initiation due to executive function deficits in their developing prefrontal cortex. Large tasks overwhelm their working memory. Breaking into micro-steps and doing the first steps together reduces activation energy and builds momentum through small dopamine hits."
Homework - Easily Distracted,DISTRACTED,Homework,"Pay attention and finish your work!","Your brain keeps noticing things around the room. Let's set up your environment to help your brain focus.",Remove visible distractions—clutter, toys, screens,"Now let's use a timer. Your brain can focus for 15 minutes, then take a 5-minute break.",Set up structured work/break intervals using Pomodoro technique,"During breaks, move your body. That helps your brain focus better for the next round.",Build in movement breaks,"DISTRACTED brains have difficulty sustaining attention and filtering irrelevant stimuli. Environmental modifications reduce sensory competition. The Pomodoro technique aligns with their natural attention span. Movement breaks increase dopamine and norepinephrine, improving subsequent focus."
Homework - Forgets to Turn In,DISTRACTED,Homework,"How could you forget again? You just did it!","Your brain has a hard time remembering all the steps. Let's create a system that remembers for you.",Set up a checklist: Do homework → Put in folder → Folder in backpack → Backpack by door → Turn in,"We're going to practice the whole routine tonight so your brain learns the pattern.",Walk through the entire sequence physically,"Tomorrow morning, you'll see your backpack right by the door. That will remind your brain to take it.",Use environmental cues as external memory,"DISTRACTED children have poor working memory—they genuinely forget steps in multi-step processes. This is executive dysfunction, not carelessness. External systems (checklists, environmental cues, routines) provide the memory support their developing prefrontal cortex can't yet generate internally."
Homework - Frustrated and Quits,DISTRACTED,Homework,"Stop giving up! You can do this!","I see this is frustrating. Your brain is working really hard and it's not coming easily.",Validate the struggle without dismissing the difficulty,"When something is hard, your brain needs breaks and strategies. Let's try a different way.",Offer scaffolding—break the problem into smaller steps or model one,"Look at that! You got it with a little help. Your brain can learn this.",Celebrate the process and persistence, not just the right answer,"DISTRACTED children have lower frustration tolerance due to poor emotion regulation and executive function. Frustration triggers their stress response. Validation reduces amygdala activation. Scaffolding provides the support their prefrontal cortex needs, teaching both the content and the persistence skill."
Homework - Rushes Through Carelessly,DISTRACTED,Homework,"Slow down and check your work!","Your brain wants to be done fast because homework isn't fun. Speed feels good, but your brain skips steps when it rushes.",Point out the pattern without harsh criticism,"Let's use a checklist so your brain remembers to do each part carefully.",Provide external structure for quality control,"Before you say you're done, we'll check off each step together. Does that sound okay?",Collaborative review process,"DISTRACTED children seek immediate task completion for the dopamine reward (being done). They lack the internal monitoring for quality. Rushing reflects poor impulse control and weak working memory, not laziness. Checklists provide external quality control their prefrontal cortex can't yet provide."
Homework - Refuses to Start,DISTRACTED,Homework,"You have to do your homework! It's not optional!","I hear your brain really doesn't want to do homework right now. Boring tasks feel painful to your brain.",Validate without removing the expectation,"Let's make a deal. You can choose when to start in the next 30 minutes, and what subject to do first.",Offer bounded choice to increase intrinsic motivation,"Once you finish, you get to choose a reward activity. What sounds good?",Use immediate reward to leverage their motivation,"DISTRACTED brains have low dopamine, making boring tasks almost painful. Complete refusal is often dopamine-seeking. Offering choice activates their prefrontal cortex and increases autonomy (intrinsic motivation). Immediate rewards provide the dopamine their brain craves, making the task neurologically tolerable."
Homework - Perfectionism Paralysis,DISTRACTED,Homework,"It doesn't have to be perfect! Just start!","I see your brain is stuck worrying about making mistakes. That's keeping you from starting.",Acknowledge the anxiety specifically,"Mistakes are how brains learn. Your brain grows when you try things, even if they're not perfect.",Teach growth mindset explicitly,"Let's agree to make some mistakes on purpose today. That takes the pressure off.",Paradoxical intervention to reduce perfectionism,"DISTRACTED children with perfectionism (often with comorbid anxiety) experience paralysis from fear of failure. Their weak working memory makes them doubt their abilities. Reframing mistakes as brain growth and intentionally making mistakes engages their prefrontal cortex differently, reducing amygdala-based avoidance."
Homework - Loses Materials,DISTRACTED,Homework,"Where is your folder? You just had it!","Your brain has trouble keeping track of lots of things at once. Let's set up a system so your stuff knows where to go.",Create a designated homework station with all materials in one spot,"Every day when you come home, backpack goes here, folder comes out and goes here.",Make it a physical routine with clear locations,"Now your brain doesn't have to remember—the place remembers for you.",Use environmental structure as external executive function,"Poor working memory and organization are hallmark executive function deficits in DISTRACTED children. Expecting them to track materials mentally sets them up for failure. Environmental organization systems (designated spots, color coding, one homework location) provide external structure their brain lacks."
Homework - Needs Constant Supervision,DISTRACTED,Homework,"Why can't you just work independently?","Your brain needs check-ins and encouragement to stay on track. That's how some brains work.",Normalize their need for support without shame,"Let's try this: Do 3 problems, then show me. Then 3 more, then show me.",Create structured check-in intervals,"Each time you show me, you get immediate feedback. That helps your brain stay motivated.",Use frequent reinforcement,"DISTRACTED children have poor sustained attention and motivation. They're not manipulating for attention—they need external reinforcement to maintain task engagement because their dopamine system doesn't provide internal motivation. Frequent check-ins prevent drift and provide the encouragement their brain needs."
Homework - Time Blindness,DISTRACTED,Homework,"You've been working for 5 minutes! This shouldn't take this long!","Your brain has a hard time feeling how much time has passed. Time moves differently in your mind.",Set up a visible analog timer or clock,"This timer will show you how much time you're using. Let's guess how long this will take.",Have them estimate, then compare actual to estimate,"Wow, you thought 10 minutes but it was 25. That's how we teach your brain about time.",Build time awareness through repeated practice with feedback,"Time blindness is a core executive function deficit in DISTRACTED children—their internal sense of time passing is impaired. Making time visible and providing feedback after each task builds time perception skills gradually. Shaming about time management worsens anxiety without teaching the skill."
Homework - Needs Movement While Working,DISTRACTED,Homework,"Sit still and focus!","I notice your body needs to move. Movement actually helps your brain focus better.",Provide fidgets, allow standing, or let them use a wobble cushion,"Let's set up your work space so your body can move while your brain thinks.",Accommodate the sensory need without judgment,"Try doing your work standing up or bouncing on this ball. See if that helps.",Experiment with movement-friendly accommodations,"DISTRACTED brains perform BETTER with movement—fidgeting increases dopamine and noradrenergic activity in the prefrontal cortex, improving attention. Forcing stillness impairs their focus. Alternative seating, fidgets, and movement breaks are evidence-based accommodations, not permissiveness."
Homework - Executive Function Overload,DISTRACTED,Homework,"You should be able to do this yourself by now!","This homework requires a lot of planning and organizing, and that's hard for your brain right now.",Acknowledge that executive function skills are still developing,"Let's use a graphic organizer to help your brain see all the parts.",Provide scaffolding through external tools,"As your brain gets more practice, these tools will get easier and eventually you won't need them as much.",Frame supports as temporary brain-building tools,"Multi-step assignments overwhelm DISTRACTED children's limited working memory and planning abilities. Graphic organizers, checklists, and templates provide external structure. These are accommodations for genuine neurological deficits, not enabling. Scaffolding builds skills that will eventually internalize."
Transitions - Leaving Playground,DEFIANT,Transitions,"We're leaving right now! Let's go!","I know you're having fun and don't want to go. Let's figure this out together.",Acknowledge their perspective and feelings first,"We need to leave in 5 minutes. What's one more thing you want to do before we go?",Offer limited choice within the boundary,"Okay, you can do that. Then we'll leave together. Do you want to walk to the car or hop?",Give them autonomy over HOW the transition happens,"DEFIANT children resist when they feel controlled. Offering choice preserves autonomy (reducing reactance), while the time boundary maintains necessary structure. Letting them choose the manner of transition (walk/hop) gives additional agency, transforming a power struggle into collaboration."
Transitions - Stopping Play for Dinner,DEFIANT,Transitions,"Dinner time! Stop playing now!","I see you're really into your game. Let's make a plan together for stopping.",Sit down at their level and engage with curiosity about what they're doing,"How much more time do you think you need to finish this part?",Ask their input genuinely,"Okay, 5 more minutes. When the timer goes off, we have a deal that you'll come to dinner. Agreed?",Get explicit agreement—involves them in the decision,"DEFIANT children need to feel heard and involved in decisions. Asking their input (within reason) engages their prefrontal cortex and provides autonomy. Explicit agreement activates their sense of integrity—they're more likely to honor commitments they made than orders they received."
Transitions - Starting Homework,DEFIANT,Transitions,"Go do your homework right now!","I know homework isn't fun. Let's talk about when it makes sense for you to start.",Use collaborative language—"let's talk" vs. "you will","Do you want to start now and have the evening free, or have a snack first and start in 20 minutes?",Offer real choices within acceptable parameters,"Your call. What works better for your brain?",Explicitly give them decision-making power,"DEFIANT children have strong autonomy needs. Direct commands trigger psychological reactance—a biological drive to restore freedom by resisting. Collaborative problem-solving and genuine choice engage their prefrontal cortex, shifting from defiance to partnership. They cooperate with decisions they've made."
Transitions - Going to School Refusal,DEFIANT,Transitions,"You have to go to school! Stop arguing!","I hear that you don't want to go to school. That's important information. What's going on?",Ask with genuine curiosity instead of commanding,"School isn't optional, and I want to understand what makes it hard.",Acknowledge the boundary while still validating their perspective,"Let's problem-solve together. What would make mornings easier?",Invite collaborative solution-finding,"DEFIANT children refuse when they feel powerless. Acknowledging their feelings without removing boundaries shows respect. Collaborative problem-solving addresses the root cause (often anxiety, social issues, or sensory overwhelm) rather than just forcing compliance, which would escalate the power struggle."
Transitions - Bedtime Resistance,DEFIANT,Transitions,"It's bedtime! Get upstairs now!","Bedtime is coming up. Let's look at our evening plan together.",Use collaborative framing—"our plan" vs. "my rule","You can choose the order: PJs first or teeth first? And do you want 2 books or 3 tonight?",Offer multiple points of choice within the structure,"Great. Let's get started then.",Follow their lead on the choices they made,"DEFIANT children resist bedtime as a control issue, not because they're not tired. Providing choices within the routine preserves their autonomy while maintaining the necessary boundary (bedtime happens). Multiple choice points reduce accumulated reactance that comes from feeling controlled all day."
Transitions - Leaving a Friend's House,DEFIANT,Transitions,"Say goodbye! We're leaving!","I know you're having fun with your friend and leaving is disappointing. What's a good way to say goodbye?",Involve them in the transition process,"Do you want to pick a time to see them again, or make plans now?",Give them some control over the situation,"Thanks for being flexible even though you wanted to stay. That was mature.",Acknowledge their cooperation specifically and genuinely,"DEFIANT children need agency even in necessary transitions. Involving them in how the goodbye happens and future planning gives them appropriate control. Genuine acknowledgment of their flexibility (not manipulation through praise) builds intrinsic motivation for cooperation."
Transitions - Screen to Mealtime,DEFIANT,Transitions,"Turn that off and come eat!","I see you're in the middle of something. Let's look at our screen time agreement together.",Reference pre-agreed rules rather than asserting authority in the moment,"Our agreement says screens go off at 6:00 for dinner. It's 6:00 now.",State the fact neutrally—the rule, not you, is the authority,"Do you want to save it yourself or should I help you?",Offer choice in HOW compliance happens,"DEFIANT children resist authority and direct commands. Pre-agreed rules take you out of the authority role—they're following their own agreement. Offering choice in how they comply preserves autonomy. Calm, factual statements reduce emotional reactance that comes from feeling dominated."
Transitions - Change in Plans,DEFIANT,Transitions,"Plans changed. Deal with it.","I know we had different plans and now they've changed. That's frustrating and I'm disappointed too.",Share your own disappointment—model transparency,"Let's figure out what we can do instead. Do you have any ideas?",Invite their input on the new plan,"What if we do [their idea] now and reschedule [original plan] for next weekend?",Incorporate their suggestions when possible,"DEFIANT children feel powerless when plans change without their input. Modeling your own disappointment shows emotions are valid. Inviting their solutions for alternatives gives them agency in the new situation, reducing the feeling of being controlled by circumstances or authority figures."
Hygiene - Toothbrushing Refusal,INTENSE,Hygiene,"You have to brush your teeth!","I notice toothbrushing feels uncomfortable to your mouth. Let's find a way that feels better.",Acknowledge the sensory challenge as real,"Do you want to pick the toothbrush? We have soft, extra soft, or this vibrating one.",Offer control over the tools,"Let's try brushing for just 30 seconds today and work up to longer. I'll set a timer.",Make the demand smaller and more manageable,"Oral defensiveness in INTENSE children makes toothbrushing genuinely painful or overwhelming. Forcing creates trauma. Offering choice of tools, shortening duration, and gradual desensitization with their cooperation is the occupational therapy approach that actually works."
Hygiene - Hair Washing Screaming,INTENSE,Hygiene,"Stop screaming! It's just water!","Water on your head and face feels really overwhelming to your senses. Let's make it easier.",Validate the sensory experience without dismissing,"Today let's try using a washcloth with just a little water instead of pouring. You can control it.",Offer an alternative method that reduces sensory overwhelm,"Or we can use dry shampoo today and try washing another time when you're ready.",Provide an out if the sensory challenge is too much,"Hair washing involves multiple overwhelming sensory inputs for INTENSE children—water temperature, pressure, facial sensations. Their heightened sensitivity is neurological. Offering alternatives and gradual exposure respects their nervous system while maintaining hygiene. Force causes long-term aversion."
Hygiene - Nail Trimming Battle,INTENSE,Hygiene,"Hold still! I'm just trimming your nails!","I know nail trimming feels uncomfortable or maybe ticklish or scary. Your body is very sensitive.",Acknowledge their sensory experience as valid,"Let's just do one nail today. Just one. Then we're done.",Make the exposure so minimal they can tolerate it,"Tomorrow we can do one more. Slow is okay.",Gradual desensitization without pressure,"INTENSE children may have tactile hypersensitivity making nail trimming feel painful or threatening. All-or-nothing approaches fail. Doing one nail per day prevents overwhelm and builds tolerance gradually. Occupational therapy principles: make the exposure small enough to tolerate, repeat consistently."
Hygiene - Bath Refusal,INTENSE,Hygiene,"You have to take a bath! You're dirty!","I hear you don't want a bath. Sometimes the way water and soap feel is too much for your senses.",Validate their sensory sensitivity,"Let's find a way that feels okay. Do you want a bath with toys, or a quick shower, or a washcloth wash tonight?",Offer multiple options with decreasing sensory demands,"You choose what your body can handle tonight.",Give them full agency in meeting the hygiene need,"INTENSE children's sensory processing sensitivity makes full baths overwhelming sometimes. Respecting their sensory limits while maintaining hygiene builds trust. Offering graduated options (bath/shower/washcloth) ensures cleanliness while honoring their nervous system's capacity in that moment."
Social - Sharing Toys,DEFIANT,Social,"You need to share right now!","I see you both want the same toy. Let's figure out a solution together.",Get down to their level and address both children,"What are some ways we could solve this so both of you are happy?",Invite collaborative problem-solving rather than imposing a solution,"That's a good idea. Let's try taking turns with the timer. Who wants to go first?",Help them implement their solution,"DEFIANT children resist imposed solutions, even fair ones, because it feels controlling. Collaborative problem-solving (CPS model) engages their prefrontal cortex, teaches negotiation skills, and preserves autonomy. They're more invested in solutions they create than solutions imposed on them."
Social - Hitting Sibling,DEFIANT,Social,"We don't hit! Say sorry right now!","I can't let you hit your brother. AND I want to understand what happened.",State the boundary while inviting their perspective,"What was going on right before you hit? Help me understand.",Use genuine curiosity, not interrogation,"So you were really frustrated because he took your toy. Hitting isn't okay, but your frustration makes sense. What else could you do next time?",Validate feeling, reject behavior, invite problem-solving,"Forcing apologies with DEFIANT children triggers reactance and teaches insincere compliance. Understanding their perspective first (collaborative problem-solving) addresses the unmet need (autonomy, fairness). They're more willing to make repairs when they feel heard, not dominated."
Social - Won't Play with Others,DEFIANT,Social,"Go play with the other kids!","I notice you're staying by yourself. That's okay—your body gets to decide when you're ready to join.",Remove pressure entirely,"If you want to join, you can. If you want to watch, that's fine too. You're in charge of your choice.",Explicitly give them control,"Let me know if you want help joining in, or if you want me to stay here with you.",Offer support without pressure,"Forced social participation with DEFIANT children triggers reactance. Respecting their choice honors autonomy. Paradoxically, removing pressure often leads them to join when they feel safe. Pressure creates avoidance. Offering support (not force) makes participation safer if they choose it."
Social - Conflict Resolution,DEFIANT,Social,"You both need to work this out right now!","I see you two have a problem. Do you want to solve it yourselves, or do you want my help?",Offer choice about intervention level,"If you want my help, I need to hear both perspectives. Who wants to go first?",Structure the collaborative process while honoring their autonomy,"Okay, I hear you both. Now you need to come up with a solution you both agree on. I trust you can figure this out.",Empower them to solve while providing structure,"DEFIANT children resist adult-imposed conflict resolution. Offering choice about intervention level preserves autonomy. Hearing both sides shows fairness (critical to them). Empowering them to generate solutions teaches skills while respecting their capability, reducing the perception of being controlled."
